Price,Quantity,Type
0.00215230,0.60000000,Bid
0.00215210,1.82000000,Bid
0.00215190,1.77000000,Bid
0.00215170,0.07000000,Bid
0.00215160,35.83000000,Bid
0.00215150,36.64000000,Bid
0.00215140,0.89000000,Bid
0.00215130,110.00000000,Bid
0.00215120,10.62000000,Bid
0.00215110,21.01000000,Bid
0.00215100,40.06000000,Bid
0.00215090,17.92000000,Bid
0.00215080,42.38000000,Bid
0.00215070,53.86000000,Bid
0.00215040,0.05000000,Bid
0.00215030,0.48000000,Bid
0.00215020,133.94000000,Bid
0.00215010,169.71000000,Bid
0.00215000,194.25000000,Bid
0.00214980,0.06000000,Bid
0.00214970,0.57000000,Bid
0.00214960,55.28000000,Bid
0.00214950,0.32000000,Bid
0.00214920,129.95000000,Bid
0.00214910,108.00000000,Bid
0.00214900,0.88000000,Bid
0.00214890,50.58000000,Bid
0.00214880,13.54000000,Bid
0.00214870,4.21000000,Bid
0.00214860,0.51000000,Bid
0.00214850,41.80000000,Bid
0.00214840,0.38000000,Bid
0.00214810,0.23000000,Bid
0.00214800,1306.33000000,Bid
0.00214770,176.49000000,Bid
0.00214760,400.00000000,Bid
0.00214750,3.51000000,Bid
0.00214740,0.77000000,Bid
0.00214720,0.09000000,Bid
0.00214700,1.59000000,Bid
0.00214690,1.04000000,Bid
0.00214680,0.23000000,Bid
0.00214670,0.37000000,Bid
0.00214660,6.59000000,Bid
0.00214650,0.69000000,Bid
0.00214640,139.10000000,Bid
0.00214620,0.31000000,Bid
0.00214610,0.06000000,Bid
0.00214600,100.51000000,Bid
0.00214590,0.19000000,Bid
0.00214580,0.38000000,Bid
0.00214550,1.43000000,Bid
0.00214540,35.77000000,Bid
0.00214530,0.64000000,Bid
0.00214520,0.07000000,Bid
0.00214500,73.22000000,Bid
0.00214490,2.68000000,Bid
0.00214480,0.23000000,Bid
0.00214470,0.75000000,Bid
0.00214460,4.29000000,Bid
0.00214450,25.00000000,Bid
0.00214440,4.22000000,Bid
0.00214430,1.13000000,Bid
0.00214420,481.94000000,Bid
0.00214410,1682.49000000,Bid
0.00214400,0.49000000,Bid
0.00214380,2.25000000,Bid
0.00214360,190.33000000,Bid
0.00214350,1.03000000,Bid
0.00214340,0.25000000,Bid
0.00214320,4.22000000,Bid
0.00214300,0.30000000,Bid
0.00214280,1.73000000,Bid
0.00214270,2.00000000,Bid
0.00214260,1.82000000,Bid
0.00214250,0.25000000,Bid
0.00214240,1.33000000,Bid
0.00214230,0.41000000,Bid
0.00214220,0.59000000,Bid
0.00214200,1.51000000,Bid
0.00214180,1.38000000,Bid
0.00214170,0.32000000,Bid
0.00214160,18.13000000,Bid
0.00214150,483.30000000,Bid
0.00214140,285.89000000,Bid
0.00214130,0.13000000,Bid
0.00214120,0.42000000,Bid
0.00214110,1.30000000,Bid
0.00214100,220.58000000,Bid
0.00214090,1403.51000000,Bid
0.00214070,0.48000000,Bid
0.00214060,0.95000000,Bid
0.00214050,21.71000000,Bid
0.00214040,3.97000000,Bid
0.00214020,11.55000000,Bid
